Província,Código de Província,Distrito,Código de Distrito,Posto administrativo,Código de Posto Administrativo,CEP
Cidade de Maputo,01,Distrito KaMpfumo,01,Alto Maé A,01,0101-01
Cidade de Maputo,01,Distrito KaMpfumo,01,Alto Maé B,02,0101-02
Cidade de Maputo,01,Distrito KaMpfumo,01,Central A,03,0101-03
Cidade de Maputo,01,Distrito KaMpfumo,01,Central B,04,0101-04
Cidade de Maputo,01,Distrito KaMpfumo,01,Central C,05,0101-05
Cidade de Maputo,01,Distrito KaMpfumo,01,Coop,06,0101-06
Cidade de Maputo,01,Distrito KaMpfumo,01,Malangalene A,07,0101-07
Cidade de Maputo,01,Distrito KaMpfumo,01,Malangalene B,08,0101-08
Cidade de Maputo,01,Distrito KaMpfumo,01,Polana Cimento A,09,0101-09
Cidade de Maputo,01,Distrito KaMpfumo,01,Polana Cimento B,10,0101-10
Cidade de Maputo,01,Distrito KaMpfumo,01,Sommerschield,11,0101-11
Cidade de Maputo,01,Nhlamankulu,02,Aeroporto A,01,0102-01
Cidade de Maputo,01,Nhlamankulu,02,Aeroporto B,02,0102-02
Cidade de Maputo,01,Nhlamankulu,02,Chamanculo A,03,0102-03
Cidade de Maputo,01,Nhlamankulu,02,Chamanculo B,04,0102-04
Cidade de Maputo,01,Nhlamankulu,02,Chamanculo C,05,0102-05
Cidade de Maputo,01,Nhlamankulu,02,Chamanculo D,06,0102-06
Cidade de Maputo,01,Nhlamankulu,02,Malanga,07,0102-07
Cidade de Maputo,01,Nhlamankulu,02,Minkadjuine,08,0102-08
Cidade de Maputo,01,Nhlamankulu,02,Munhuana,09,0102-09
Cidade de Maputo,01,Nhlamankulu,02,Unidade 7,10,0102-10
Cidade de Maputo,01,Nhlamankulu,02,Xipamanine,11,0102-11
Cidade de Maputo,01,KaMaxakeni,03,Mafalala,01,0103-01
Cidade de Maputo,01,KaMaxakeni,03,Maxaquene A,02,0103-02
Cidade de Maputo,01,KaMaxakeni,03,Maxaquene B,03,0103-03
Cidade de Maputo,01,KaMaxakeni,03,Maxaquene C,04,0103-04
Cidade de Maputo,01,KaMaxakeni,03,Maxaquene D,05,0103-05
Cidade de Maputo,01,KaMaxakeni,03,Polana Caniço A,06,0103-06
Cidade de Maputo,01,KaMaxakeni,03,Polana Caniço B,07,0103-07
Cidade de Maputo,01,KaMaxakeni,03,Urbanização,08,0103-08
Cidade de Maputo,01,KaMavota,04,3 de Fevereiro,01,0104-01
Cidade de Maputo,01,KaMavota,04,Albazine,02,0104-02
Cidade de Maputo,01,KaMavota,04,Costa do Sol,03,0104-03
Cidade de Maputo,01,KaMavota,04,FPLM,04,0104-04
Cidade de Maputo,01,KaMavota,04,Ferroviário,05,0104-05
Cidade de Maputo,01,KaMavota,04,Hulene A,06,0104-06
Cidade de Maputo,01,KaMavota,04,Hulene B,07,0104-07
Cidade de Maputo,01,KaMavota,04,Laulane,08,0104-08
Cidade de Maputo,01,KaMavota,04,Mahotas,09,0104-09
Cidade de Maputo,01,KaMavota,04,Mavalane A,10,0104-10
Cidade de Maputo,01,KaMavota,04,Mavalene B,11,0104-11
Cidade de Maputo,01,KaMubukwana,05,25 de Junho A,01,0105-01
Cidade de Maputo,01,KaMubukwana,05,25 de Junho B,02,0105-02
Cidade de Maputo,01,KaMubukwana,05,Bagamoyo,03,0105-03
Cidade de Maputo,01,KaMubukwana,05,Inhagoia A,04,0105-04
Cidade de Maputo,01,KaMubukwana,05,Inhagoia B,05,0105-05
Cidade de Maputo,01,KaMubukwana,05,Jardim,06,0105-06
Cidade de Maputo,01,KaMubukwana,05,Jorge Dimitrov,07,0105-07
Cidade de Maputo,01,KaMubukwana,05,Luís Cabral,08,0105-08
Cidade de Maputo,01,KaMubukwana,05,Magoanine A,09,0105-09
Cidade de Maputo,01,KaMubukwana,05,Magoanine B,10,0105-10
Cidade de Maputo,01,KaMubukwana,05,Magoanine C,11,0105-11
Cidade de Maputo,01,KaMubukwana,05,Malhazine,12,0105-12
Cidade de Maputo,01,KaMubukwana,05,Salene,13,0105-13
Cidade de Maputo,01,KaMubukwana,05,Zimpeto,14,0105-14
Cidade de Maputo,01,KaTembe,06,Chali,01,0106-01
Cidade de Maputo,01,KaTembe,06,Chamissava,02,0106-02
Cidade de Maputo,01,KaTembe,06,Guachene,03,0106-03
Cidade de Maputo,01,KaTembe,06,Incassane,04,0106-04
Cidade de Maputo,01,KaTembe,06,Inguide,05,0106-05
Cidade de Maputo,01,KaNyaka,07,Inguane,01,0107-01
Cidade de Maputo,01,KaNyaka,07,Nhaquene,02,0107-02
Cidade de Maputo,01,KaNyaka,07,Ribjene,03,0107-03
Maputo Província,02,Matutuíne,01,Bela Vista (Sede),01,0201-01
Maputo Província,02,Matutuíne,01,Catembe Nsime,02,0201-02
Maputo Província,02,Matutuíne,01,Catuane,03,0201-03
Maputo Província,02,Matutuíne,01,Machangulo,04,0201-04
Maputo Província,02,Matutuíne,01,Zitundo,05,0201-05
Maputo Província,02,Namaacha,02,Changalane,01,0202-01
Maputo Província,02,Namaacha,02,Namaacha (Sede),02,0202-02
Maputo Província,02,Boane,03,Boane (Sede),01,0203-01
Maputo Província,02,Boane,03,Matola-Rio,02,0203-02
Maputo Província,02,Matola,04,Infulene,01,0204-01
Maputo Província,02,Matola,04,Machava,02,0204-02
Maputo Província,02,Matola,04,Matola (Sede),03,0204-03
Maputo Província,02,Marracuene,05,Machubo,01,0205-01
Maputo Província,02,Marracuene,05,Marracuene (Sede),02,0205-02
Maputo Província,02,Moamba,06,Moamba (Sede),01,0206-01
Maputo Província,02,Moamba,06,Pessene,02,0206-02
